x,y,p,phi_on_grid
0.086889,0.213581,0.0180813,0.0183877
0.086889,0.226413,0.0191813,0.0194818
0.086889,0.239276,0.0202479,0.0205772
0.086889,0.252167,0.021341,0.021674
0.086889,0.265088,0.0224192,0.022772
0.086889,0.278038,0.0235148,0.0238713
0.086889,0.291018,0.0245975,0.0249718
0.086889,0.304026,0.0256987,0.0260736
0.086889,0.317064,0.0267818,0.0271767
0.086889,0.33013,0.0278853,0.028281
0.086889,0.343226,0.0289759,0.0293865
0.086889,0.35635,0.0300838,0.0304932
0.086889,0.369504,0.0311805,0.0316012
0.086889,0.382686,0.0322915,0.0327103
0.086889,0.395896,0.0333924,0.0338206
0.086889,0.409136,0.0345065,0.0349321
0.086889,0.422404,0.0356122,0.0360447
0.086889,0.4357,0.036729,0.0371585
0.086889,0.449025,0.0378411,0.0382734
0.086889,0.462378,0.038964,0.0393895
0.086889,0.475759,0.0400836,0.0405067
0.086889,0.489169,0.04121,0.041625
0.086889,0.502607,0.0423324,0.0427443
0.086889,0.516073,0.0434634,0.0438648
0.086889,0.529568,0.0445912,0.0449864
0.086889,0.54309,0.0457221,0.046109
0.086889,0.55664,0.0468572,0.0472326
0.086889,0.570218,0.0479965,0.0483574
0.086889,0.583824,0.0491373,0.0494831
0.086889,0.597458,0.0502833,0.0506099
0.086889,0.611119,0.0514286,0.0517378
0.086889,0.624808,0.0525868,0.0528666
0.086889,0.638525,0.0537372,0.0539964
0.0994233,0.0,0.0,0.0
0.0994233,0.012321,0.00120388,0.00122425
0.0994233,0.0246727,0.00240326,0.00245004
0.0994233,0.0370551,0.00361669,0.00367737
0.0994233,0.0494679,0.0048246,0.00490621
0.0994233,0.0619113,0.00602291,0.00613655
0.0994233,0.074385,0.00725801,0.00736838
0.0994233,0.086889,0.00843209,0.00860169
0.0994233,0.0994233,0.00968984,0.00983645
0.0994233,0.111988,0.0108678,0.0110727
0.0994233,0.124582,0.0121168,0.0123103
0.0994233,0.137207,0.0133129,0.0135493
0.0994233,0.149861,0.0145502,0.0147898
0.0994233,0.162546,0.0157615,0.0160316
0.0994233,0.17526,0.0169918,0.0172748
0.0994233,0.188004,0.0182237,0.0185194
0.0994233,0.200777,0.0194383,0.0197653
0.0994233,0.213581,0.020688,0.0210126
0.0994233,0.226413,0.0219027,0.0222611
0.0994233,0.239276,0.0231503,0.023511
0.0994233,0.252167,0.0243774,0.0247621
0.0994233,0.265088,0.0256224,0.0260146
0.0994233,0.278038,0.0268563,0.0272683
0.0994233,0.291018,0.0281104,0.0285232
0.0994233,0.304026,0.0293442,0.0297794
0.0994233,0.317064,0.0306,0.0310369
0.0994233,0.33013,0.0318414,0.0322955
0.0994233,0.343226,0.0330952,0.0335553
0.0994233,0.35635,0.0343511,0.0348163
0.0994233,0.369504,0.0356059,0.0360785
0.0994233,0.382686,0.0368659,0.0373419
0.0994233,0.395896,0.0381266,0.0386064
0.0994233,0.409136,0.039388,0.039872
0.0994233,0.422404,0.040655,0.0411388
0.0994233,0.4357,0.0419186,0.0424067
0.0994233,0.449025,0.0431917,0.0436757
0.0994233,0.462378,0.0444636,0.0449458
0.0994233,0.475759,0.0457435,0.0462169
0.0994233,0.489169,0.0470188,0.0474891
0.0994233,0.502607,0.0483037,0.0487624
0.0994233,0.516073,0.0495816,0.0500367
0.0994233,0.529568,0.0508697,0.0513121
0.0994233,0.54309,0.052156,0.0525884
0.0994233,0.55664,0.0534443,0.0538658
0.0994233,0.570218,0.0547394,0.0551442
0.0994233,0.583824,0.0560369,0.0564235
0.0994233,0.597458,0.0573402,0.0577038
0.0994233,0.611119,0.0586451,0.0589851
0.0994233,0.624808,0.0599505,0.0602674
0.0994233,0.638525,0.0612652,0.0615506
0.111988,0.0,0.0,0.0
0.111988,0.012321,0.0013538,0.00137885
0.111988,0.0246727,0.00271106,0.00275923
0.111988,0.0370551,0.00407157,0.00414113
0.111988,0.0494679,0.00542756,0.00552451
0.111988,0.0619113,0.00680287,0.00690937
0.111988,0.074385,0.00813831,0.0082957
0.111988,0.086889,0.0095376,0.00968346
0.111988,0.0994233,0.0108678,0.0110727
0.111988,0.111988,0.0122681,0.0124633
0.111988,0.124582,0.0136174,0.0138552
0.111988,0.137207,0.0150009,0.0152486
0.111988,0.149861,0.016365,0.0166433
0.111988,0.162546,0.0177466,0.0180394
0.111988,0.17526,0.0191215,0.0194368
0.111988,0.188004,0.0204971,0.0208355
0.111988,0.200777,0.0218888,0.0222355
0.111988,0.213581,0.0232562,0.0236368
0.111988,0.226413,0.0246573,0.0250394
0.111988,0.239276,0.0260297,0.0264432
0.111988,0.252167,0.0274297,0.0278482
0.111988,0.265088,0.0288086,0.0292545
0.111988,0.278038,0.0302153,0.0306619
0.111988,0.291018,0.0315985,0.0320706
0.111988,0.304026,0.0330083,0.0334804
0.111988,0.317064,0.0343979,0.0348914
0.111988,0.33013,0.0358007,0.0363035
0.111988,0.343226,0.0372083,0.0377168
0.111988,0.35635,0.0386088,0.0391311
0.111988,0.369504,0.0400265,0.0405466
0.111988,0.382686,0.0414306,0.0419632
0.111988,0.395896,0.0428498,0.0433808
0.111988,0.409136,0.0442611,0.0447995
0.111988,0.422404,0.0456819,0.0462192
0.111988,0.4357,0.0470984,0.04764
0.111988,0.449025,0.0485244,0.0490618
0.111988,0.462378,0.0499504,0.0504846
0.111988,0.475759,0.0513816,0.0519083
0.111988,0.489169,0.0528153,0.0533331
0.111988,0.502607,0.0542458,0.0547588
0.111988,0.516073,0.055686,0.0561855
0.111988,0.529568,0.0571226,0.0576131
0.111988,0.54309,0.058561,0.0590416
0.111988,0.55664,0.0600085,0.060471
0.111988,0.570218,0.0614529,0.0619014
0.111988,0.583824,0.0629096,0.0633326
0.111988,0.597458,0.0643611,0.0647647
0.111988,0.611119,0.0658237,0.0661976
0.111988,0.624808,0.0672882,0.0676314
